ticker,cell,side,fill_price,fill_ts,bid_at_fill,ask_at_fill,spread_at_fill,mid_at_fill,mid_30min_before,price_change_30min,direction_30min,oscillation_range,n_window_snaps,paired
KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,ATP_CHALL_underdog_45-49,underdog,49,2026-04-28 02:46:32 AM ET,48,50,2,49.0,50.5,-1.0,TRENDING_DOWN,1.0,6,False
KXATPCHALLENGERMATCH-26APR28ARNCAR-ARN,ATP_CHALL_underdog_45-49,underdog,47,2026-04-28 02:46:33 AM ET,47,48,1,47.5,47.0,0.5,TRENDING_UP,0.5,6,True
KXATPCHALLENGERMATCH-26APR28HERMAR-MAR,ATP_CHALL_leader_55-59,leader,58,2026-04-28 02:46:34 AM ET,55,58,3,56.5,58.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28FAUMON-MON,ATP_CHALL_leader_70-74,leader,74,2026-04-28 02:49:10 AM ET,74,75,1,74.5,74.5,0.0,FLAT,0.0,6,False
KXWTACHALLENGERMATCH-26APR28WERMAR-WER,WTA_CHALL_leader_55-59,leader,59,2026-04-28 02:50:31 AM ET,58,60,2,59.0,59.0,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR28MEDCOB-MED,ATP_MAIN_leader_50-54,leader,54,2026-04-28 03:19:13 AM ET,54,55,1,54.5,54.5,0.0,FLAT,0.0,5,True
KXATPCHALLENGERMATCH-26APR28ARNCAR-CAR,ATP_CHALL_leader_50-54,leader,53,2026-04-28 03:42:25 AM ET,52,54,2,53.0,53.5,0.0,FLAT,0.0,6,True
KXWTACHALLENGERMATCH-26APR28MINMAS-MIN,WTA_CHALL_underdog_40-44,underdog,40,2026-04-28 04:45:29 AM ET,40,41,1,40.5,40.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28FATPIN-PIN,ATP_CHALL_leader_50-54,leader,52,2026-04-28 05:17:58 AM ET,52,53,1,52.5,52.5,0.0,FLAT,0.0,5,False
KXATPMATCH-26APR28MEDCOB-COB,ATP_MAIN_underdog_45-49,underdog,46,2026-04-28 05:55:47 AM ET,46,47,1,46.5,46.5,0.0,FLAT,0.0,5,True
KXATPCHALLENGERMATCH-26APR28WAWOFN-WAW,ATP_CHALL_underdog_35-39,underdog,39,2026-04-28 07:27:42 AM ET,37,39,2,38.0,39.5,0.0,OSCILLATING,0.5,6,False
KXATPCHALLENGERMATCH-26APR28SVRGIL-GIL,ATP_CHALL_underdog_35-39,underdog,37,2026-04-28 08:07:55 AM ET,37,38,1,37.5,37.5,0.0,FLAT,0.0,5,False
KXWTACHALLENGERMATCH-26APR28WANQUE-WAN,WTA_CHALL_leader_55-59,leader,57,2026-04-28 08:22:41 AM ET,57,58,1,57.5,57.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28FORBAR-FOR,ATP_CHALL_underdog_45-49,underdog,47,2026-04-28 08:33:24 AM ET,47,48,1,47.5,47.5,0.0,FLAT,0.0,6,False
KXWTACHALLENGERMATCH-26APR28TOMSOR-TOM,WTA_CHALL_leader_55-59,leader,56,2026-04-28 08:55:19 AM ET,54,55,1,54.5,56.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28ECHGAR-GAR,ATP_CHALL_leader_80-84,leader,82,2026-04-28 09:10:32 AM ET,82,83,1,82.5,83.0,-0.5,TRENDING_DOWN,0.5,6,False
KXATPMATCH-26APR28CERBLO-BLO,ATP_MAIN_underdog_30-34,underdog,31,2026-04-28 09:39:54 AM ET,31,32,1,31.5,31.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28FENMMO-MMO,ATP_CHALL_leader_75-79,leader,79,2026-04-28 10:41:13 AM ET,79,80,1,79.5,79.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28VISLAL-LAL,ATP_CHALL_underdog_20-24,underdog,22,2026-04-28 11:48:57 AM ET,22,23,1,22.5,22.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28GIUBIT-GIU,ATP_CHALL_leader_65-69,leader,68,2026-04-28 12:54:39 PM ET,66,68,2,67.0,68.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28STRBAX-STR,ATP_CHALL_underdog_45-49,underdog,45,2026-04-28 02:13:54 PM ET,43,44,1,43.5,45.5,0.0,INSUFFICIENT_DATA,0.0,2,False
KXATPMATCH-26APR28MENZVE-MEN,ATP_MAIN_underdog_30-34,underdog,33,2026-04-28 02:53:06 PM ET,33,34,1,33.5,33.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28GEEXIL-XIL,ATP_CHALL_underdog_40-44,underdog,41,2026-04-28 03:54:27 PM ET,41,42,1,41.5,41.5,0.0,INSUFFICIENT_DATA,0.0,1,False
