cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
WTA_MAIN_underdog_15-19,3,A,False,203,2,19,6,13,182,9.4,31.6,-1.6,-0.09
WTA_MAIN_underdog_15-19,3,B,False,203,2,19,6,13,182,9.4,31.6,-6.3,-0.35
WTA_MAIN_underdog_15-19,5,A,False,203,5,15,3,12,183,7.4,20.0,-74.0,-3.22
WTA_MAIN_underdog_15-19,5,B,False,203,5,15,4,11,183,7.4,26.7,-34.7,-1.51
WTA_MAIN_underdog_15-19,7,A,False,203,6,14,2,12,183,6.9,14.3,-104.3,-4.23
WTA_MAIN_underdog_15-19,7,B,False,203,6,14,3,11,183,6.9,21.4,-62.5,-2.54
WTA_MAIN_underdog_15-19,10,A,False,186,7,12,0,12,167,6.5,0.0,-190.0,-7.21
WTA_MAIN_underdog_15-19,10,B,False,186,7,12,0,12,167,6.5,0.0,-190.0,-7.21
WTA_MAIN_underdog_20-24,3,A,False,249,3,28,10,18,218,11.2,35.7,-76.1,-3.89
WTA_MAIN_underdog_20-24,3,B,False,249,3,28,10,18,218,11.2,35.7,-81.4,-4.16
WTA_MAIN_underdog_20-24,5,A,False,249,5,24,8,16,220,9.6,33.3,-79.4,-3.48
WTA_MAIN_underdog_20-24,5,B,False,249,5,24,8,16,220,9.6,33.3,-87.7,-3.84
WTA_MAIN_underdog_20-24,7,A,False,248,7,21,5,16,220,8.5,23.8,-131.4,-5.06
WTA_MAIN_underdog_20-24,7,B,False,248,7,21,6,15,220,8.5,28.6,-109.3,-4.21
WTA_MAIN_underdog_20-24,10,A,False,248,10,15,2,13,223,6.0,13.3,-186.0,-5.11
