ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXATPCHALLENGERMATCH-26APR27GALSWE-GAL,57,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,77,200,20.00,leader,2026-04-26 11:45:41 PM ET
KXWTAMATCH-26APR27ANDBON-AND,83,0,,WTA_MAIN_leader_80-84,WTA_MAIN_leader_80-84,,,scalp,98,150,15.00,leader,2026-04-26 11:54:38 PM ET
KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,69,0,,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,,,scalp,98,290,29.00,leader,2026-04-27 12:06:55 AM ET
KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,39,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,scalp,50,110,11.00,underdog,2026-04-27 12:36:15 AM ET
KXATPCHALLENGERMATCH-26APR27BERERH-ERH,55,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,75,160,16.00,leader,2026-04-27 01:13:25 AM ET
KXATPCHALLENGERMATCH-26APR27JORIAN-IAN,38,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,scalp,49,110,11.00,underdog,2026-04-27 01:31:35 AM ET
KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,85,0,,ATP_CHALL_leader_85-89,ATP_CHALL_leader_85-89,,,scalp,92,70,7.00,leader,2026-04-27 01:36:32 AM ET
KXWTAMATCH-26APR27BENBAP-BAP,31,0,,WTA_MAIN_underdog_30-34,WTA_MAIN_underdog_25-29,,,scalp,52,210,21.00,underdog,2026-04-27 01:38:49 AM ET
KXATPCHALLENGERMATCH-26APR27BOISIN-SIN,51,0,,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,,,scalp,66,160,16.00,leader,2026-04-27 01:38:51 AM ET
KXATPCHALLENGERMATCH-26APR27KIRFUK-FUK,20,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,scalp,35,150,15.00,underdog,2026-04-27 02:13:37 AM ET
KXATPCHALLENGERMATCH-26APR27PIEWIS-PIE,52,0,,ATP_CHALL_leader_50-54,ATP_CHALL_leader_50-54,,,scalp,67,150,15.00,leader,2026-04-27 02:34:33 AM ET
KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,74,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,scalp,98,240,24.00,leader,2026-04-27 04:10:58 AM ET
KXATPCHALLENGERMATCH-26APR27CERMOL-MOL,55,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,75,200,20.00,leader,2026-04-27 04:59:05 AM ET
KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,12,0,,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,,,unknown,0,0,0.00,underdog,2026-04-27 05:19:38 AM ET
KXWTAMATCH-26APR27POTRYB-RYB,87,0,,WTA_MAIN_leader_85-89,WTA_MAIN_leader_85-89,,,unknown,0,0,0.00,leader,2026-04-27 05:32:43 AM ET
KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,35,0,,ATP_CHALL_underdog_35-39,ATP_CHALL_underdog_35-39,,,unknown,0,0,0.00,underdog,2026-04-27 07:13:02 AM ET
KXATPCHALLENGERMATCH-26APR28SAKDAL-SAK,64,0,,ATP_CHALL_leader_60-64,ATP_CHALL_leader_65-69,,,scalp,94,300,30.00,leader,2026-04-28 01:41:30 AM ET
KXATPCHALLENGERMATCH-26APR28ORLPOL-POL,80,0,,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,,,scalp,95,150,15.00,leader,2026-04-28 02:02:02 AM ET
