ticker_idx,cell,regime,anchor,offset,match_start_ts
810130,68,r65_74,68,2,1770049860.0
775576,43,r35_44,43,2,1770053820.0
791406,59,r55_64,59,2,1770055260.0
791878,46,r45_54,46,2,1770055260.0
801955,57,r55_64,57,2,1770055740.0
786299,14,r05_14,14,3,1770056700.0
799580,63,r55_64,63,1,1770057060.0
788205,21,r15_24,21,2,1770057060.0
803692,81,r75_84,81,4,1770058080.0
803403,29,r25_34,29,2,1770058080.0
780326,45,r45_54,45,2,1770059940.0
779931,58,r55_64,58,2,1770059940.0
800752,15,r15_24,15,2,1770060120.0
796990,92,r85_94,92,1,1770061260.0
781732,80,r75_84,80,1,1770061800.0
782227,22,r15_24,22,1,1770061800.0
772387,67,r65_74,67,1,1770062220.0
789285,60,r55_64,60,4,1770062520.0
789743,47,r45_54,47,2,1770062520.0
804445,53,r45_54,53,2,1770064080.0
803988,52,r45_54,52,4,1770064080.0
806379,38,r35_44,38,2,1770065460.0
806753,66,r65_74,66,1,1770065460.0
800304,33,r25_34,33,4,1770070500.0
799835,71,r65_74,71,1,1770070500.0
816957,36,r35_44,36,2,1770071340.0
816695,85,r85_94,85,2,1770071340.0
792347,42,r35_44,42,6,1770074640.0
792747,69,r65_74,69,2,1770074640.0
806102,72,r65_74,72,6,1770076620.0
805825,36,r35_44,36,3,1770076620.0
794889,80,r75_84,80,2,1770078720.0
794344,24,r15_24,24,2,1770078720.0
779484,17,r15_24,17,3,1770079440.0
779037,83,r75_84,83,1,1770079440.0
778303,21,r15_24,21,2,1770080400.0
778009,80,r75_84,80,2,1770080400.0
781218,29,r25_34,29,2,1770082800.0
815498,44,r35_44,44,2,1770085980.0
823455,13,r05_14,13,2,1770086880.0
824141,89,r85_94,89,2,1770086880.0
820367,43,r35_44,43,1,1770086940.0
820870,59,r55_64,59,1,1770086940.0
793153,40,r35_44,40,2,1770087660.0
793735,63,r55_64,63,2,1770087660.0
786781,66,r65_74,66,1,1770094440.0
787322,37,r35_44,37,2,1770094440.0
807127,27,r25_34,27,2,1770094980.0
818250,73,r65_74,73,3,1770095940.0
818919,30,r25_34,30,4,1770095940.0
795406,18,r15_24,18,2,1770099540.0
795891,84,r75_84,84,2,1770099540.0
784846,41,r35_44,41,2,1770102300.0
784193,60,r55_64,60,3,1770102300.0
828804,17,r15_24,17,4,1770110520.0
833751,74,r65_74,74,3,1770112260.0
833555,41,r35_44,41,3,1770112260.0
843612,48,r45_54,48,3,1770112320.0
844102,55,r55_64,55,3,1770112320.0
836300,65,r65_74,65,1,1770113760.0
835884,35,r35_44,35,1,1770113760.0
862071,64,r55_64,64,2,1770118620.0
846251,62,r55_64,62,2,1770120720.0
838652,70,r65_74,70,3,1770122340.0
853119,75,r75_84,75,3,1770123060.0
852663,25,r25_34,25,3,1770123060.0
872417,35,r35_44,35,2,1770123900.0
872833,68,r65_74,68,2,1770123900.0
830237,59,r55_64,59,4,1770124980.0
866300,57,r55_64,57,2,1770125820.0
865826,42,r35_44,42,2,1770125820.0
846914,64,r55_64,64,2,1770127620.0
854106,36,r35_44,36,3,1770127740.0
