category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_MAIN,Moez Echargui,26JUN22BUTECH,,03:30:00,07:30:00,08:47:43,latch,3,31,28,,30,3,0,28,0,1.0,4,33,29,,31,4,0,29,0,1.0,4,31,27,,31,4,0,27,0,1.0,2045,3517,engagement_join:30->30,30
ATP_MAIN,Gianluca Cadenasso,26JUN22CADCIN,,02:00:00,06:00:00,06:48:00,latch,6,28,22,,27,7,1,21,0,0.955,7,29,22,,28,9,1,22,0,1.0,4,29,25,,29,4,0,24,0,0.96,1864,1818,engagement_join:28->27,27
ATP_MAIN,Federico Cina,26JUN22CADCIN,,02:00:00,06:00:00,06:48:00,latch,69,93,24,,72,91,4,22,0,0.917,70,94,24,,74,93,4,20,0,0.833,70,96,26,,70,96,0,21,0,0.808,3090,2771,staircase:65->66->67->68->69,
ATP_MAIN,CAR?,26JUN22CEBCAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,86,88,2,,86,86,2,,0,,88,89,1,,88,88,1,,0,,87,88,1,,88,88,1,,0,,1183,10,engagement_join:87,87
ATP_MAIN,CEB?,26JUN22CEBCAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,11,12,1,,12,12,1,,0,,13,14,1,,13,13,1,,0,,13,13,0,,13,13,0,,0,0.0,38,0,staircase:11,11
ATP_MAIN,BAR?,26JUN22CECBAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,85,85,0,,85,85,0,,0,0.0,86,87,1,,86,86,1,,0,,,,,,,,,,0,,0,0,engagement_join:85->85,85
ATP_MAIN,CEC?,26JUN22CECBAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,13,13,0,,13,13,0,,0,0.0,14,15,1,,15,15,1,,0,,14,14,0,,14,14,0,,0,0.0,37,0,staircase:12,12
ATP_MAIN,CHI?,26JUN22CHIDOU,,02:00:00,06:00:00,06:00:00,scheduled_fallback,71,72,1,,72,72,1,,0,,72,73,1,,73,73,1,,0,,72,73,1,,73,73,1,,0,,221,0,staircase:67->68->69->70->71,71
ATP_MAIN,DOU?,26JUN22CHIDOU,,02:00:00,06:00:00,06:00:00,scheduled_fallback,26,27,1,,27,27,1,,0,,27,29,2,,28,28,2,,0,,27,28,1,,28,28,1,,0,,216,0,staircase:25->26,26
ATP_MAIN,Jan Choinski,26JUN22CHOPOP,,05:30:00,09:30:00,09:30:00,scheduled_fallback,32,33,1,,32,32,1,,0,,33,34,1,,33,33,1,,0,,32,34,2,,33,33,2,,0,,1178,102,engagement_join:32->32,32
