ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 03:56:55 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5566,1053,0.841
2026-04-18 03:57:33 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,29,1,28,167,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5451,1053,0.838
2026-04-18 03:57:40 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,29,1,28,167,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5451,1053,0.838
2026-04-18 04:07:19 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,29,1,28,167,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5451,1053,0.838
2026-04-18 04:08:23 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,29,113,28,167,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5563,1053,0.841
2026-04-18 04:08:29 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,29,113,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5512,1053,0.840
2026-04-18 04:08:29 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,30,171,29,113,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5567,1053,0.841
2026-04-18 04:08:29 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,30,171,29,113,20,113,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2430,1053,0.698
2026-04-18 04:08:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,30,171,29,112,20,113,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2429,1053,0.698
2026-04-18 04:08:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,30,171,20,113,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5567,1053,0.841
