c,tbin,fill
27,210,0.7075503929609277
27,220,0.7006369848123508
27,230,0.684923732616447
27,240,0.6830625359176636
28,20,0.23919248720522002
28,30,0.4334342523055583
28,40,0.49124177887814385
28,50,0.5229848194660462
28,60,0.5436822591153058
28,70,0.5426259357848751
28,80,0.5400715728524595
28,90,0.5558085996197822
28,100,0.5590587898616162
28,110,0.5447498597216177
28,120,0.5834703146231102
28,130,0.5768817149217026
28,140,0.5815642514374921
28,150,0.5976840341493033
28,160,0.5967379750695389
28,170,0.6262278773360072
28,180,0.6402520525014539
28,190,0.6595837942178956
28,200,0.6613694254272633
28,210,0.668896195918247
28,220,0.6608982665889243
28,230,0.6474855557422063
28,240,0.6545469017985625
29,20,0.24499275705932197
29,30,0.4595955912501985
29,40,0.5044745713097007
29,50,0.5366189455723734
29,60,0.5694706608256026
29,70,0.5691998933702669
29,80,0.5725173254803483
29,90,0.5895241259924584
29,100,0.6052784111380477
29,110,0.5934766940109597
29,120,0.6289078808177768
29,130,0.6009767604990945
29,140,0.6173734829977511
29,150,0.644093684322643
29,160,0.6293589584036221
29,170,0.6676369041982501
29,180,0.6795775964922051
29,190,0.6997642243578163
29,200,0.6934668903407697
29,210,0.7021338054748989
29,220,0.6913531751782556
29,230,0.6784303514900192
29,240,0.6751472937948996
30,20,0.21340523161481334
30,30,0.4173368811967181
30,40,0.4538735407223851
30,50,0.4881257164802797
30,60,0.5160728550048465
30,70,0.5252552754982006
30,80,0.5365367012366309
30,90,0.555742295921761
30,100,0.5681799267011675
30,110,0.5580711960971965
30,120,0.5913695443767348
30,130,0.5510675400523334
30,140,0.5722345812727835
30,150,0.5925979896836316
30,160,0.5882280382129979
30,170,0.6280603077797378
30,180,0.6379412140704058
30,190,0.6562287575606878
30,200,0.6491766589222745
30,210,0.6618932558745562
30,220,0.6370660950139505
30,230,0.6193020897459148
30,240,0.6015276359566578
31,20,0.202233720019539
31,30,0.390891157382959
31,40,0.44681158776034025
31,50,0.4777159555567093
31,60,0.5158594634882833
31,70,0.5298933689003974
31,80,0.5492721327160591
31,90,0.5757384346673079
31,100,0.5931882196518485
31,110,0.5877188775412175
31,120,0.6084695700822841
31,130,0.5578190066667549
31,140,0.584971267044532
31,150,0.6065283847530939
31,160,0.5986307354113651
31,170,0.645307670544795
31,180,0.6363598740341755
31,190,0.6462848271141497
31,200,0.6366246068083705
31,210,0.6452891614546259
31,220,0.6274702650793272
31,230,0.6130961998194004
31,240,0.5949923088195856
32,20,0.20610843320149688
32,30,0.3900536170313198
32,40,0.4655124816945304
32,50,0.49563913616005045
32,60,0.5422724365360058
32,70,0.5569034020582047
32,80,0.5858916542399191
32,90,0.6177693839494961
32,100,0.6339722691877656
32,110,0.6377016750404322
32,120,0.6515148855235946
32,130,0.6021108305346767
32,140,0.6330602417226575
32,150,0.6502086885927605
32,160,0.6485528135249576
32,170,0.6912461314601843
