code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL17YANTRE,YAN,WTA_CHALL,26_50,MIRRORED,CLIMBER,10.0,60,1784289156.6,0.062,False,,,,
26JUL17ZAKPRO,PRO,WTA_CHALL,26_50,FLAT_BOTH,,3.5,,,,False,,,,
26JUL17ZAKPRO,ZAK,WTA_CHALL,26_50,FLAT_BOTH,,-1.5,47,1784253523.3,0.8741,False,,,,
26JUL17ZIDMAR,MAR,WTA_MAIN,51_75,FLAT_BOTH,,-3.0,64,1784293108.7,0.8512,True,68,1784232543.818,1784229375,RISING
26JUL17ZIDMAR,ZID,WTA_MAIN,26_50,FLAT_BOTH,,4.0,30,1784229370.8,0.0896,False,,,1784229373,FALLING
26JUL17ZVOTAR,TAR,WTA_CHALL,51_75,FLAT_BOTH,,-2.0,63,1784255349.7,0.3908,False,,,,
26JUL17ZVOTAR,ZVO,WTA_CHALL,26_50,FLAT_BOTH,,3.0,37,1784254943.5,0.7437,False,,,,
26JUL18ALCVIL,ALC,ATP_CHALL,51_75,FLAT_BOTH,,3.5,73,1784377396.1,0.3502,False,,,,
26JUL18ALCVIL,VIL,ATP_CHALL,26_50,FLAT_BOTH,,-3.5,28,1784379172.8,0.5549,False,,,,
26JUL18BADZID,BAD,WTA_MAIN,51_75,MIRRORED,CLIMBER,26.0,74,1784350814.8,0.4293,True,74,1784350814.828,1784336126,RISING
26JUL18BADZID,ZID,WTA_MAIN,51_75,MIRRORED,FALLER,-27.0,23,1784353394.0,0.4662,True,25,1784343849.67,1784336126,FALLING
26JUL18BANGAO,BAN,WTA_MAIN,51_75,MIRRORED,FALLER,-12.0,38,1784330373.1,0.0301,False,,,1784330376,FALLING
26JUL18BANGAO,GAO,WTA_MAIN,51_75,MIRRORED,CLIMBER,10.0,60,1784365488.2,0.9997,True,61,1784332177.359,1784330376,FALLING
26JUL18BASBOE,BAS,WTA_CHALL,26_50,MIRRORED,CLIMBER,47.0,96,1784354391.9,0.0035,False,,,,
26JUL18BASBOE,BOE,WTA_CHALL,26_50,MIRRORED,FALLER,-45.5,3,1784391606.0,0.9244,True,3,1784392723.612,1784391609,FALLING
26JUL18BASKRA,BAS,WTA_CHALL,26_50,OPPOSED_UNBALANCED,,-14.5,32,1784353951.4,0.7041,True,32,1784353951.435,1784352384,FALLING
26JUL18BASKRA,KRA,WTA_CHALL,26_50,OPPOSED_UNBALANCED,,20.0,66,1784329234.8,0.1079,False,,,1784352384,RISING
26JUL18BERSAI,BER,WTA_MAIN,51_75,MIRRORED,FALLER,-38.5,9,1784346331.8,0.2515,True,10,1784336180.269,1784334767,FALLING
26JUL18BERSAI,SAI,WTA_MAIN,51_75,MIRRORED,CLIMBER,37.5,87,1784372524.1,0.7914,True,90,1784335711.976,1784334883,RISING
26JUL18BROBRA,BRA,WTA_CHALL,51_75,OPPOSED_UNBALANCED,,-26.5,38,1784346976.3,0.1514,False,,,1784381152,RISING
26JUL18BROBRA,BRO,WTA_CHALL,26_50,OPPOSED_UNBALANCED,,12.0,61,1784381148.4,0.9822,False,,,1784381152,FALLING
26JUL18BUTTAB,BUT,ATP_MAIN,26_50,MIRRORED,FALLER,-20.0,20,1784373050.5,0.9989,True,31,1784368705.163,1784356459,FALLING
26JUL18BUTTAB,TAB,ATP_MAIN,26_50,MIRRORED,CLIMBER,20.0,67,1784333745.9,0.0256,False,,,1784356458,RISING
26JUL18CASGEA,CAS,ATP_CHALL,26_50,MIRRORED,FALLER,-8.0,29,1784406306.7,0.7398,False,,,1784404671,RISING
26JUL18CASGEA,GEA,ATP_CHALL,51_75,MIRRORED,CLIMBER,7.0,65,1784385519.6,0.0183,True,69,1784404801.828,1784404662,RISING
26JUL18CINMIC,CIN,ATP_MAIN,26_50,MIRRORED,CLIMBER,24.0,73,1784358827.4,0.7647,True,73,1784366894.844,1784358833,FALLING
26JUL18CINMIC,MIC,ATP_MAIN,26_50,MIRRORED,FALLER,-23.5,26,1784341918.7,0.2808,False,,,1784358935,RISING
26JUL18CIRTOT,CIR,WTA_CHALL,26_50,MIRRORED,FALLER,-6.0,40,1784379162.9,0.6677,True,43,1784387018.327,1784385398,RISING
