ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1784022086,2026-07-14 05:41:26 AM,27256.9,83,911,84,1607
1784022087,2026-07-14 05:41:27 AM,27255.9,83,511,84,1607
1784022087,2026-07-14 05:41:27 AM,27255.9,83,511,84,2007
1784022093,2026-07-14 05:41:33 AM,27249.9,83,511,84,1997
1784022553,2026-07-14 05:49:13 AM,26789.9,83,514,84,1997
1784022556,2026-07-14 05:49:16 AM,26786.9,83,545,84,1997
1784022556,2026-07-14 05:49:16 AM,26786.9,83,945,84,1997
1784022556,2026-07-14 05:49:16 AM,26786.9,83,945,84,1597
1784022589,2026-07-14 05:49:49 AM,26753.9,83,945,84,1997
1784022589,2026-07-14 05:49:49 AM,26753.9,83,545,84,1997
1784022589,2026-07-14 05:49:49 AM,26753.9,83,545,84,2397
1784022659,2026-07-14 05:50:59 AM,26683.9,83,545,84,2343
1784022659,2026-07-14 05:50:59 AM,26683.9,83,545,84,2341
1784022751,2026-07-14 05:52:31 AM,26591.9,83,542,84,2341
1784022801,2026-07-14 05:53:21 AM,26541.9,83,542,84,2387
1784022856,2026-07-14 05:54:16 AM,26486.9,83,542,84,7387
1784022856,2026-07-14 05:54:16 AM,26486.9,83,542,84,6987
1784022856,2026-07-14 05:54:16 AM,26486.9,83,542,84,7387
1784023536,2026-07-14 06:05:36 AM,25806.9,83,541,84,7387
1784023536,2026-07-14 06:05:36 AM,25806.9,83,538,84,7387
1784023550,2026-07-14 06:05:50 AM,25792.9,83,548,84,7387
1784023550,2026-07-14 06:05:50 AM,25792.9,83,548,84,7397
1784023676,2026-07-14 06:07:56 AM,25666.9,83,548,84,2397
